VHF.Lib.B,VHF.Lib.A,UHF.Lib.B,UHF.Lib.A,SHF.Lib.B,SHF.Lib.A,VHF.Pro,VHF.SMM.B,VHF.SMM.A,VHF.Fron,UHF.Fron,HF.Cnaf.B,HF.Cnaf.A,HF.Cnaf.Ser,HF.Cnaf.Note,VHF.Cnaf.B,VHF.Cnaf.A,VHF.Cnaf.Ser,VHF.Cnaf.Note,UHF.Cnaf.B,UHF.Cnaf.A,UHF.Cnaf.Ser,UHF.Cnaf.Note
,,,,,,,,,172.8975,,,,,,,,,,,,,
,,,,,,,,,172.9,,,,,,,,,,,,,
,,,,,,,,,172.9025,,,,,,,,,,,,,
,,,,,,,,,172.905,,,,,,,,,,,,,
,,,,,,,,,172.9075,,,,,,,,,,,,,
,,,,,,,,,172.91,,,,,,,,,,,,,
,,,,,,,,,172.9125,,,,,,,,,,,,,
,,,,,,,,,172.915,,,,,,,,,,,,,
,,,,,,,,,172.9175,,,,,,,,,,,,,
,,,,,,,,,172.92,,,,,,,,,,,,,
,,,,,,,,,172.9225,,,,,,,,,,,,,
,,,,,,,,,172.925,,,,,,,,,,,,,
,,,,,,,,,172.9275,,,,,,,,,,,,,
,,,,,,,,,172.93,,,,,,,,,,,,,
,,,,,,,,,172.9325,,,,,,,,,,,,,
,,,,,,,,,172.935,,,,,,,,,,,,,
,,,,,,,,,172.9375,,,,,,,,,,,,,
,,,,,,,,,172.94,,,,,,,,,,,,,
,,,,,,,,,172.9425,,,,,,,,,,,,,
,,,,,,,,,172.945,,,,,,,,,,,,,
,,,,,,,,,172.9475,,,,,,,,,,,,,
,,,,,,,,,172.95,,,,,,,,,,,,,
,,,,,,,,,172.9525,,,,,,,,,,,,,
,,,,,,,,,172.955,,,,,,,,,,,,,
,,,,,,,,,172.9575,,,,,,,,,,,,,
,,,,,,,,,172.96,,,,,,,,,,,,,
,,,,,,,,,172.9625,,,,,,,,,,,,,
,,,,,,,,,172.965,,,,,,,,,,,,,
,,,,,,,,,172.9675,,,,,,,,,,,,,
,,,,,,,,,172.97,,,,,,,,,,,,,
,,,,,,,,,172.9725,,,,,,,,,,,,,
,,,,,,,,,172.975,,,,,,,,,,,,,
,,,,,,,,,172.9775,,,,,,,,,,,,,
,,,,,,,,,172.98,,,,,,,,,,,,,
,,,,,,,,,172.9825,,,,,,,,,,,,,
,,,,,,,,,172.985,,,,,,,,,,,,,
,,,,,,,,,172.9875,,,,,,,,,,,,,
,,,,,,,,,172.99,,,,,,,,,,,,,
,,,,,,,,,172.9925,,,,,,,,,,,,,
,,,,,,,,,172.995,,,,,,,,,,,,,
,,,,,,,,,172.9975,,,,,,,,,,,,,
,,,,,,,,,173,,,,,,,,,,,,,
,,,,,,,,,173.0025,,,,,,,,,,,,,
,,,,,,,,,173.005,,,,,,,,,,,,,
,,,,,,,,,173.0075,,,,,,,,,,,,,
,,,,,,,,,173.01,,,,,,,,,,,,,
,,,,,,,,,173.0125,,,,,,,,,,,,,
,,,,,,,,,173.015,,,,,,,,,,,,,
,,,,,,,,,173.0175,,,,,,,,,,,,,
,,,,,,,,,173.02,,,,,,,,,,,,,
,,,,,,,,,173.0225,,,,,,,,,,,,,
,,,,,,,,,173.025,,,,,,,,,,,,,
,,,,,,,,,173.0275,,,,,,,,,,,,,
,,,,,,,,,173.03,,,,,,,,,,,,,
,,,,,,,,,173.0325,,,,,,,,,,,,,
,,,,,,,,,173.035,,,,,,,,,,,,,
